celltype	strategy	contrast	n_tested	n_sig	frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	Met_vs_Normal	18213	8115	0.445561
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	Met_vs_StageI	13265	7040	0.530720
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	Normal_vs_StageI	18795	13842	0.736472
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	nb_multi	omnibus	596	596	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	fisher	IVprimary_vs_StageI	5137	1336	0.260074
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	nb_multi	omnibus	32	32	1.000000
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	fisher	IVprimary_vs_Normal	13882	6305	0.454185
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	fisher	IVprimary_vs_StageI	6576	2400	0.364964
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	fisher	Normal_vs_StageI	13139	3129	0.238146
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	nb_multi	omnibus	191	191	1.000000
lung_epithelial_lineage_signatures_MUCINOUS	fisher	IVprimary_vs_Met	10578	5302	0.501229
lung_epithelial_lineage_signatures_MUCINOUS	fisher	IVprimary_vs_Normal	15119	6474	0.428203
lung_epithelial_lineage_signatures_MUCINOUS	fisher	IVprimary_vs_StageI	14131	6509	0.460618
lung_epithelial_lineage_signatures_MUCINOUS	fisher	Met_vs_Normal	15994	9633	0.602288
lung_epithelial_lineage_signatures_MUCINOUS	fisher	Met_vs_StageI	14924	9856	0.660413
lung_epithelial_lineage_signatures_MUCINOUS	fisher	Normal_vs_StageI	17292	11492	0.664585
lung_epithelial_lineage_signatures_MUCINOUS	nb_multi	omnibus	616	616	1.000000
lung_epithelial_lineage_signatures_PNECS	fisher	Met_vs_StageI	9767	3979	0.407392
lung_epithelial_lineage_signatures_PNECS	nb_multi	omnibus	79	78	0.987342
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	fisher	Met_vs_Normal	14062	5831	0.414664
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	fisher	Met_vs_StageI	12413	5592	0.450495
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	fisher	Normal_vs_StageI	16112	10995	0.682411
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	nb_multi	omnibus	391	391	1.000000
