celltype	strategy	stage	n_rows	n_units	n_cells	frac_zero_cov	mean_all	sd_all	n_cov	mean_cov	sd_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	shannon	IVprimary	2176510	7378	295	0.964950	0.563155	0.492319	76287	0.684245	0.335228
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	shannon	Met	2700348	7378	366	0.979891	0.565052	0.493588	54302	0.672382	0.337530
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	shannon	StageI	5924534	7378	803	0.962157	0.562647	0.492018	224202	0.688446	0.330089
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	classic	Normal	636880	4190	152	0.971701	0.010749	0.090533	18023	0.379826	0.386581
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	classic	IVprimary	385480	4190	92	0.981052	0.007173	0.075077	7304	0.378558	0.396090
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	classic	StageI	875710	4190	209	0.985999	0.005470	0.065763	12261	0.390715	0.397951
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	proportion	Normal	3415744	7378	152	0.000000	0.328320	0.308722	3415744	0.328320	0.308722
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	proportion	IVprimary	2067424	7378	92	0.000000	0.328320	0.308081	2067424	0.328320	0.308081
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	proportion	StageI	4696648	7378	209	0.000000	0.328320	0.307639	4696648	0.328320	0.307639
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	shannon	Normal	1121456	7378	152	0.961399	0.561826	0.491592	43289	0.675651	0.319645
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	shannon	IVprimary	678776	7378	92	0.971939	0.563510	0.492665	19047	0.662098	0.328613
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	shannon	StageI	1542002	7378	209	0.979638	0.564657	0.493395	31399	0.667953	0.323806
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	classic	Normal	624310	4190	149	0.877079	0.045912	0.177041	76741	0.373509	0.364183
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	classic	Met	1734660	4190	414	0.992275	0.003167	0.050838	13401	0.409913	0.409653
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	proportion	Normal	3348328	7378	149	0.000000	0.328320	0.314189	3348328	0.328320	0.314189
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	proportion	Met	9303408	7378	414	0.000000	0.328320	0.307152	9303408	0.328320	0.307152
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	shannon	Normal	1099322	7378	149	0.843318	0.547137	0.481229	172244	0.699842	0.326635
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	shannon	Met	3054492	7378	414	0.989510	0.565932	0.494245	32042	0.631787	0.318705
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	classic	Normal	5149510	4190	1229	0.945392	0.020316	0.120615	281203	0.372027	0.368189
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	classic	IVprimary	414810	4190	99	0.976630	0.008628	0.081598	9694	0.369191	0.389604
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	classic	Met	1638290	4190	391	0.988210	0.004602	0.060522	19316	0.390320	0.400140
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	classic	StageI	4458160	4190	1064	0.979086	0.008091	0.078963	93237	0.386873	0.389357
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	proportion	Normal	27618088	7378	1229	0.000000	0.328320	0.310040	27618088	0.328320	0.310040
